account_id,is_employee,last_modified_date,last_access_date,reputation_change_year,reputation_change_quarter,reputation_change_month,reputation_change_week,reputation_change_day,reputation,creation_date,user_type,user_id,accept_rate,location,website_url,link,profile_image,display_name,badge_counts_bronze,badge_counts_silver,badge_counts_gold,country,insert_date
10035104,False,1638269417.0,1654076984,8,-2,0,0,0,41,1623153295,registered,16163887,,Unknown,,https://stackoverflow.com/users/16163887/lgf,https://www.gravatar.com/avatar/babb7aa4f23c7017d0f39bf61a5e1162?s=256&d=identicon&r=PG&f=1,LGF,5,0,0,Unknown,2022-05-26
22218754,False,,1654106666,16,2,0,0,0,41,1626364798,registered,16456795,,Unknown,,https://stackoverflow.com/users/16456795/davida28,https://lh3.googleusercontent.com/a/AATXAJxyaVFHN97RSPKJssguc6ZEkNBKG__00C37uEAu=k-s256,davida28,3,0,0,Unknown,2022-05-26
24858047,False,1649670300.0,1654151686,40,40,-2,-2,-2,41,1649319086,registered,18734161,,Unknown,,https://stackoverflow.com/users/18734161/user18734161,https://www.gravatar.com/avatar/6ca21a463f5744d24bc10accad016a91?s=256&d=identicon&r=PG&f=1,user18734161,4,0,0,Unknown,2022-05-26
15467620,False,1652898900.0,1653753059,24,24,0,0,0,35,1551861217,registered,11158538,,Unknown,,https://stackoverflow.com/users/11158538/salsa94,https://www.gravatar.com/avatar/f6ec96969304bd0684c8595bbd3b4561?s=256&d=identicon&r=PG&f=1,Salsa94,5,0,0,Unknown,2022-05-26
15244836,False,1654036200.0,1654103979,32,32,0,4,0,33,1549009751,registered,10999967,,Unknown,,https://stackoverflow.com/users/10999967/bharath-kumar,https://lh4.googleusercontent.com/-0GHoI1l4RuA/AAAAAAAAAAI/AAAAAAAABo8/fmzzLH7T4CA/photo.jpg?sz=256,bharath kumar,5,0,0,Unknown,2022-05-26
19953117,False,1652932993.0,1653895554,10,12,0,0,0,33,1605134239,registered,14622342,,Unknown,,https://stackoverflow.com/users/14622342/imtiaz-shuvo,https://lh3.googleusercontent.com/a-/AOh14Ggwp6SbTv2hCk9WoBg9N6Z1-ZK04-iddXqiTMHHMA=k-s256,Imtiaz Shuvo,4,0,0,Unknown,2022-05-26
24093665,False,1650626100.0,1653772428,32,18,0,0,0,33,1643470740,registered,18066556,,Unknown,,https://stackoverflow.com/users/18066556/abir,https://www.gravatar.com/avatar/2e4d7b642ae4751ca3422a555ac83168?s=256&d=identicon&r=PG,Abir,5,0,0,Unknown,2022-05-26
25322659,False,1653727500.0,1654076416,32,32,0,0,0,33,1652866189,registered,19143736,,Unknown,,https://stackoverflow.com/users/19143736/nicodeno-s,https://www.gravatar.com/avatar/5ffab32f9bb99da07a9623b3d23d9333?s=256&d=identicon&r=PG,Nicodeno S,5,0,0,Unknown,2022-05-26
21526190,False,,1654096766,-2,-2,0,0,0,29,1620737629,registered,15896789,,Unknown,,https://stackoverflow.com/users/15896789/daniele-ingredy,https://lh3.googleusercontent.com/a-/AOh14GjPZnm2mzaki0VRaDHx9NQlzpi7BvyfYsL2MiWJ_tc=k-s256,Daniele Ingredy,1,0,0,Unknown,2022-05-26
23466000,False,1654086303.0,1654156091,18,18,0,0,0,29,1637966924,registered,17520196,,Unknown,,https://stackoverflow.com/users/17520196/acolyter11,https://lh3.googleusercontent.com/a/AATXAJxOtReGjJ-3uxWpnD8BBshcrZnsW-GOnTrx_xMH=k-s256,acolyter11,5,0,0,Unknown,2022-05-26
